! ("！")
" ("“”")
ajzm ("𣞉")
ajzo ("可以" "𩰶")
ajzq ("可能")
ajzr ("𩰷")
ajzu ("䝃")
ajzy ("吞吐能力")
ajzz ("可出")
ak ("更")
akad ("严于")
akae ("画刊")
akai ("更正" "严正")
akaj ("无影无踪" "百日咳")
akak ("画画" "𣌽")
akal ("两日内")
akao ("一览无余")
akas ("无时无刻")
akav ("一日游")
akax ("𠨔")
akay ("𠢾")
akb ("垩" "𡉹")
akbh ("晋城")
akbm ("天时地利" "天时地利人和")
akbn ("正常工作")
akbo ("更替")
akbz ("更动")
akcb ("万里长城")
akcd ("亚非拉")
akch ("更长")
akck ("正当理由")
akco ("万里长征")
akcx ("𣍇")
akcz ("恶毒")
akda ("严打" "百里挑一")
akdk ("画押")
akdm ("夏时制")
akdr ("更换")
akds ("専")
akdy ("画报")
aken ("𢍖")
akeo ("𥛴")
akes ("亚当斯敦")
akf ("𣐫")
akfb ("𥙳" "𣒮")
akfe ("恶霸")
akff ("严禁")
akfj ("严整")
akfk ("恶棍")
akfm ("严酷")
akfr ("严格")
akfu ("正当权益")
akfv ("更要")
akga ("严厉")
akgd ("更大")
akgj ("画面")
akgo ("百思不得其解" "𩓏")
akgq ("更有")
akgr ("百思不解")
akgs ("亚太" "形影不离")
akgv ("一尘不染")
akgz ("顶尖级")
akhk ("亚东")
akho ("亚欧")
akhy ("一辈子")
aki ("𤰓")
akij ("恶战")
akil ("𧇘")
akjo ("𠦱")
akjr ("画图" "𥘱")
akjv ("晋中")
akk ("晋" "曺")
akka ("𥛠")
akkc ("亚非")
akkf ("恶果" "𥚌")
akkh ("戬")
akki ("𥙍")
akkm ("恶劣" "更少")
akko ("更小" "𪏬" "𠪕")
akkq ("严明")
akkr ("𪅳")
akkv ("更是")
akkw ("𢥍")
akky ("鄑")
akla ("画幅")
aklc ("𥘲")
akll ("𠦟")
aklp ("𢒴")
aklz ("严峻")
akm ("严")
akmc ("一览表" "副省长")
akmd ("更少的")
akme ("晋升")
akmk ("严重")
akml ("万水千山")
akmm ("画笔")
akmr ("更稳")
akmt ("正常秩序")
akmz ("一星级")
akna ("更使")
aknb ("与日俱增")
akng ("恶臭")
aknj ("𩲚")
akno ("亚伦")
aknr ("画像" "恶化" "更低")
aknw ("与时俱进" "无师自通")
aknx ("画片")
aknz ("𪕢")
ako ("更" "𤓯" "𡭕")
akoa ("严惩")
akob ("开明人士")
akod ("一小撮")
akof ("𣍛")
akoi ("𥙏")
akoj ("无业人员")
akok ("一小时" "𣌼")
akol ("㬲")
akom ("甦" "𪯥")
akor ("𩰽")
akos ("更")
akou ("开小差")
akow ("严令")
akoy ("郠" "𠡣")
akpd ("㪽" "𣂘")
akpm ("亚铁")
akqi ("𧈌" "𣦂")
akqq ("画册")
akra ("𣱊")
akrj ("更名")
akrr ("䴡" "𪇾")
akrs ("𣱊")
akrt ("严冬")
akrv ("更多")
aks ("求")
akse ("严谨")
aksf ("更新")
aksj ("更高")
aksk ("恶意")
aksm ("𢾾")
aksr ("更衣")
aktf ("恶魔" "亚麻")
aktm ("恶疾")
akts ("画廊")
aktv ("更应")
aku ("亚")
akub ("𣍏")
akuh ("𢨙")
akui ("一星半点")
akum ("恶性")
akuv ("更为")
akux ("更快" "𣍙")
akuy ("画卷")
akv ("𣱳")
akvb ("晋江" "画法")
akvm ("于是乎")
akvo ("无党派人士")
akvp ("无党派爱国人士")
akvv ("亚洲" "𣄼")
akvw ("更深")
akvy ("可是那")
akw ("恶")
akwa ("晋宁")
akwb ("亚运")
akwd ("严守")
akwe ("严寒")
akwg ("画家")
akwh ("亚军" "正常运转")
akwm ("更迭" "死里逃生")
akwn ("正常化")
akwo ("平易近人")
akwt ("严实")
akwv ("无党派")
akww ("严密")
akwz ("恶" "恶心" "恵")
akxb ("𡋲")
akxe ("画展")
akxk ("畱")
akxl ("𧶝")
akxm ("正当年")
akxn ("严肃")
akxo ("𠪕")
akxr ("开曼群岛")
aky ("𠃫")
akyj ("更加")
akym ("更改")
akyo ("下里巴人" "严办")
akys ("严防")
akyt ("恶习")
akyy ("𦑃")
akz ("画")
akze ("无照经营" "正电荷")
akzf ("𣓧")
akzi ("画" "更是如此" "𤴛" "𠦟")
akzj ("𠵤")
akzk ("㓰")
akzq ("更能")
akzs ("叀")
akzv ("干电池")
akzy ("更好" "晋级" "正电子")
al ("两")
ala ("麗")
alae ("丙型")
alaj ("两可" "𢂷" "𠱩")
alal ("𢂏" "𠀙")
alan ("两百")
alar ("两列")
alb ("再")
albb ("两款")
albc ("副署长")
albd ("𠕅" "𠕂")
albg ("两项")
albk ("再来" "𪳌")
albl ("天罗地网")
albm ("两者")
albo ("百岁老人")
albv ("两地")
albx ("严峻考验")
alby ("再起")
alcd ("再三")
alcv ("再现")
alcw ("两鬓")
aldx ("一网打尽")
alex ("𢺷")
alfe ("再植")
alff ("两栖")
alfl ("丙酮")
alfm ("两枚")
alfs ("丙醇")
alfu ("两样")
alfy ("两极")
algc ("两套")
algd ("𡭃")
algg ("𩖀")
algi ("再不")
algj ("两面")
algs ("𤜲")
algx ("𢂛")
alhv ("两成")
ali ("巿" "帀")
alij ("两点")
alis ("形同虚设")
alix ("㪅" "𣀷" "𢻵")
aljc ("两国")
alji ("𠁖")
aljo ("两只")
alka ("䪣" "䪟" "𫗙")
alkc ("万用电表")
alkd ("𠚷")
alko ("𫝞")
alkv ("丽水")
alkw ("两党")
all ("丽")
allb ("两岸四地")
alld ("丽")
allg ("两岸" "𥈜")
allk ("再则")
alll ("両")
allp ("彨")
allr ("再见" "鹂" "𧠎")
allt ("麗")
allv ("两用")
allw ("逦")
allx ("两眼")
ally ("郦")
allz ("婯" "𡡜")
alm ("𪪇")
almc ("再生")
almd ("两手")
alme ("两千")
almh ("𣬪")
almj ("两种" "丙种")
almk ("两利")
alml ("𧠥" "𠕱")
almm ("两年")
almo ("𢼆")
almy ("𠀸")
alna ("两便")
alnl ("两侧")
alnn ("两败俱伤")
alno ("两份")
alnp ("再版")
alns ("两倍")
alnx ("𩀝")
alo ("丙")
alob ("再会")
alod ("丙" "𡗚" "𠆴")
alog ("𪥐")
alok ("𩇽" "𠛥")
alol ("𧶪")
aloo ("两" "兩")
alot ("𪋘")
alou ("㶮")
alov ("两个")
aloy ("邴" "两岸人民" "㔝")
aloz ("𡠈" "𠚇")
alpt ("一瞬间")
alqa ("丙肝")
alqb ("两脚")
alqn ("一帆风顺")
alrd ("𠀑")
alrf ("两条")
alrt ("可见度")
alrz ("鳾" "䴓" "")
alsf ("天赐良机")
alsl ("两端")
alsr ("𧛦" "𧘴")
alss ("再议")
alsu ("两旁")
alsv ("再说")
alsy ("丙方")
altg ("两头" "两广")
altk ("两间" "𠠫")
altl ("䚕" "𧢮")
altm ("𣰿")
altp ("彲")
altr ("再次" "两次" "鸝" "𪈹")
altv ("再度")
altw ("邐")
alty ("酈" "𨟫")
alub ("两半")
aluf ("两米")
alug ("丙类")
alum ("两性")
aluo ("𤆱")
aluu ("天网恢恢" "一睹为快")
aluw ("丙烷")
alvb ("丽江" "一败涂地")
alve ("两湖")
alvn ("两淮")
alw ("迊")
alwk ("再审")
alwm ("再造")
alwu ("两道")
alwy ("两边")
alwz ("𢙂")
alxm ("𤯳")
alxn ("两难")
alxs ("𢂤" "𠀽")
alxy ("𨜦")
aly ("𨙶")
alya ("无助于")
alyr ("一目了然")
alyw ("两院")
alyy ("两翼" "𦑅")
alzc ("副县长")
alze ("一见如故")
alzl ("两眼发黑")
alzm ("𡛎")
alzo ("丙纶")
alzr ("再婚")
alzy ("两级")
alzz ("再出")
am ("严重")
amaa ("无敌于天下")
amad ("天气形势")
amaj ("无利可图")
amak ("无私无畏")
amat ("一年一度")
amb ("𤘔")
amba ("一千五百米")
ambb ("一等功")
ambf ("平等互惠")
ambj ("一等品")
ambm ("平等互利")
ambt ("一等奖")
ambw ("政策规定")
amc ("𤯔")
amce ("无私奉献")
amcj ("一生中")
amcs ("再生产")
amde ("严重事故")
amdm ("严重损失")
amdo ("一笔抹杀")
amee ("亚穆苏克罗")
ameg ("歌舞厅")
amej ("歌舞团")
amem ("瓦利斯和富图纳")
ameu ("一千米")
amex ("一筹莫展" "歌舞剧")
amfo ("百年树人")
amfq ("丁氰橡胶")
amfu ("政策性")
amgb ("严重破坏")
amgd ("一毛不拔")
amgg ("百看不厌")
amgo ("残缺不全")
amgs ("百年大计")
amgw ("百年不遇")
amht ("一年到头")
amhv ("天鹅湖")
amhz ("天鹅绒")
amjc ("副委员长")
amjh ("一气呵成")
amju ("可靠性")
amkj ("严重影响")
amkm ("顶刮刮")
amku ("严重性")
amlj ("豆制品" "再制品")
amlm ("一年四季")
amlw ("一笑置之")
amma ("歌舞升平")
ammc ("万年青")
amme ("更年期")
ammz ("一年级")
amnb ("与生俱来")
amns ("可靠保证")
amnw ("万籁俱寂")
amnz ("开篇伊始")
amob ("可靠人士")
ampk ("严重后果")
amps ("严重错误")
amra ("一年比一年")
amrb ("一年多来")
amrd ("𠀡")
amrp ("一笔勾销")
amrw ("严重危害")
amsp ("政策方针")
amsr ("平等竞争")
amtc ("副科长")
amue ("一年半载")
amug ("亚特兰大")
amur ("一知半解")
amvb ("政策法规")
amvv ("死气沉沉")
amwa ("一气之下")
amwf ("可乘之机")
amwp ("百年之后")
amws ("无稽之谈")
amww ("两手空空")
amwy ("可乘之隙")
amwz ("百年之好")
amxc ("副秘书长")
amxd ("天气预报")
amxl ("一箭双雕")
amya ("一物降一物")
amyt ("一季度")
amza ("一系列")
amzm ("丁种维生素")
an ("百")
anae ("平白无故")
anag ("夏天")
anaj ("𠷡")
anam ("无依无靠")
anan ("百依百顺" "皕" "𤾩" "𢌽")
anat ("更何况")
anay ("百万")
anaz ("𡕵")
anbk ("𠞐")
and ("卅" "丌")
andj ("百事")
andl ("无偿援助")
anek ("夏朝")
anem ("干什么")
anff ("𤾓")
anfi ("无休止")
anfn ("一体化")
anfp ("干休所")
angf ("百货大楼")
angh ("无伤大雅")
angn ("奡")
ango ("𩓑")
angp ("𢒣")
angy ("𠢘")
anhb ("夏至")
anhc ("副代表")
anhh ("开倒车" "𪭫")
anhm ("戛" "𢦫")
anho ("一代人")
anhx ("丣")
anix ("𣦞" "𠮕")
anjy ("夏邑")
ank ("百")
anka ("夏日" "百日")
ankb ("百里")
ankd ("㓦")
ankg ("一息尚存")
ankr ("开白条" "𡕾")
ankv ("百川归海")
anl ("𦣻")
anlz ("夏县")
anmg ("两件套")
anmj ("夏种" "𪡰")
anml ("副作用")
anmm ("百年" "𤾋")
anmt ("百科")
anmw ("副伤寒")
anmx ("恶作剧")
anmy ("夏季")
annb ("无息贷款")
anne ("𢍳")
annr ("百货" "𡖃" "𡕻")
anns ("百倍" "𣁨")
anog ("哥伦布")
anom ("百余")
anos ("𠀼")
anow ("夏令")
anoy ("百分" "百货公司" "𪟌" "𠢨" "𠢊")
anpq ("百般")
anq ("𣍣")
anr ("夏")
anra ("哥伦比亚")
anrb ("𡔀")
anrd ("𩑋")
anrm ("𢥙")
anrq ("𠙩")
anrr ("㱊" "𪄂" "𣣺")
anrs ("夏")
anrt ("百货店")
anru ("𥻴")
anrw ("𢟜")
anry ("百色" "鄾" "𠢊")
ansb ("百货商场")
anse ("百计")
ansg ("𩕙")
ansj ("百部")
anso ("殡仪馆" "一代新人")
anst ("可信度" "百货商店")
ansu ("一位数")
ansy ("开信刀")
antb ("夏装")
ante ("㪶")
anuf ("百米")
anus ("夏粮")
anvr ("百兆")
anw ("憂")
anwg ("百家")
anwh ("戞")
anwk ("一代宗师")
anwo ("天作之合")
anwr ("憂" "天伦之乐")
anww ("无价之宝" "㥑")
anwz ("𢚧" "𢙯")
anxb ("𢥀")
anxl ("𥁶")
anxr ("平假名")
anxw ("𢞘")
anyr ("𡕿")
anys ("㼣")
anz ("𦣽")
anzi ("𠚑")
anzm ("百姓" "夏收")
anzy ("𠨦")
anzz ("百出")
ao ("丈")
aoae ("百合花")
aoao ("一个一个")
aoau ("一往无前")
aoaw ("万众一心")
aoaz ("𠀒")
aob ("𡉊")
aobb ("与会者")
aobc ("副会长")
aobj ("与会国")
aobo ("丈夫")
aobr ("一会儿" "𪂐")
aod ("𠆣")
aodh ("无人区")
aody ("残余势力")
aoen ("哥德堡")
aoep ("死得其所")
aoeu ("两全其美")
aoez ("下个世纪")
aofy ("一刹那")
aogh ("无微不至")
aogk ("无人不晓")
aogl ("与众不同")
aogm ("无人不知")
aogn ("天公不作美")
aogq ("无往不胜")
aogz ("严惩不怠")
aoiu ("可行性")
aoix ("𣀑")
aoiz ("平行线")
aoje ("𢍦")
aojo ("𠀮")
aok ("𣅆")
aoka ("丈量")
aokb ("𨤻")
aoke ("下个星期")
aokn ("顶得住")
aokz ("𡐜")
aol ("爾")
aolb ("𡔈")
aold ("𠀹")
aolw ("平行四边形")
aoma ("正人先正己")
aomj ("平行符号")
aomk ("无人知晓")
aomr ("平分秋色")
aomt ("下个季度")
aomx ("𠭕")
aonc ("与会代表")
aong ("万念俱灰")
aonu ("天公作美")
aooa ("政企分开")
aoob ("壐")
aooc ("璽")
aoog ("𠁊")
aooi ("蠒")
aool ("覼")
aoon ("𩁖")
aooo ("爾")
aoop ("𨮪")
aoor ("鸍")
aoos ("𫂞")
aoow ("邇" "𪓿" "𢣭")
aoq ("𣍡")
aorb ("一会儿工夫")
aorc ("平衡表")
aorf ("平衡木")
aos ("丈" "𠀋")
aosb ("无从说起")
aosg ("平行六面体")
aosk ("两个文明建设")
aosn ("与人方便")
aoso ("画饼充饥")
aosx ("开创新局面")
aosy ("𣃙")
aotv ("无人问津")
aoub ("一分为二")
aouu ("与人为善")
aouv ("一往情深")
aovf ("一个样")
aovk ("一个是")
aovo ("一个个")
aovq ("下个月")
aovv ("𠔀")
aowa ("百分之百")
aowc ("副馆长")
aowe ("夏令营")
aowm ("万全之策")
aowt ("无人过问")
aowu ("一念之差")
aoxa ("一个又一个")
aoxj ("副食品")
aoxr ("一个劲儿")
aoxt ("副食店")
aoxy ("正人君子")
aoya ("百分百")
aoyc ("百分表")
aoyi ("百分点")
aoym ("百分制")
aoyp ("一分钱")
aoyr ("百分比")
aoys ("百分率")
aoyu ("可分为" "百分数")
aoyv ("两分法")
aoyw ("百分之")
aoyx ("无人驾驶飞机")
aozk ("万公里")
aozu ("𤇟")
aozv ("一贫如洗")
aozw ("融会贯通")
ap ("一般")
apag ("万般无奈")
apap ("一错再错")
apas ("正反两方面")
apat ("开后门")
apav ("万金油")
apbf ("天翻地覆")
apbs ("一般来说" "一般地说")
apdd ("无所事事")
apdk ("百般挑剔")
apds ("一般的说")
apeo ("平铺直叙")
apev ("一盘散沙")
apff ("开采权")
apgg ("无所不在" "无所不有")
apgh ("无所不至")
apgn ("一钱不值")
apgr ("无所不包")
apgs ("一般而言")
apgu ("无所不为")
apgy ("无所顾忌")
apkg ("一反常态")
apks ("一番话")
apku ("无所畏惧")
aplf ("一盘棋")
aplm ("一针见血")
apls ("一般见识")
aplt ("残兵败将")
aplw ("无所用心")
apmn ("一般等价物")
apns ("正镶白旗")
apnu ("无所作为")
appp ("可锻铸铁")
apqo ("一般人")
apqu ("一般性")
apsb ("一般说来")
apvs ("无所谓")
apwo ("无所适从")
apwp ("一丘之貉")
apws ("一锤定音")
apyx ("百般刁难")
aq ("一月")
aqaf ("𣑨")
aqam ("更胜一筹")
aqaq ("一犯再犯")
aqbb ("两脚规")
aqbu ("下脚料")
aqby ("两脚架")
aqda ("𪜂")
aqfq ("丁腈橡胶")
aqfx ("一脉相承")
aqgb ("无风不起浪")
aqgn ("无独有偶")
aqha ("𠀣")
aqlc ("开脱罪责")
aqnc ("𠁉")
aqqd ("𠘲")
aqsk ("天狼星")
aqvn ("一月份")
aqxq ("恶狠狠")
aqym ("一肚子气")
aqys ("𪜃")
ar ("死")
arad ("死于" "𣦿")
arae ("死刑")
araf ("𣧣")
araj ("㱦" "𣧤")
arak ("𣩪")
aral ("殨" "㱮" "𪵧" "")
aran ("𣩐")
arar ("殡殓" "㱛")
aras ("天各一方" "万象更新")
arau ("无怨无悔" "歼灭")
araz ("更多更好" "㱙" "𣧒")
arb ("殪" "𣧅")
arba ("烈士")
arbg ("𣩦")
arbk ("天昏地暗")
arbm ("死者")
arbr ("𣧸" "𣣌")
arbu ("殬")
arbv ("殓")
arbw ("𣩤")
arbz ("死去" "残云" "歼击" "𣧁")
arc ("殭")
arcb ("𣨞")
arce ("𣧹")
arcj ("殉职")
arcl ("㱴")
arcm ("殝")
arcq ("㱭")
arcr ("列表")
arcx ("𣩡")
arcz ("残毒")
ard ("𢌬")
ardi ("死掉")
ardj ("残损" "裂损")
ardn ("哥儿们" "𣨊")
ardp ("𣩁" "𣨋")
are ("殖")
area ("殡葬")
aref ("𣨴")
areg ("无名英雄")
arej ("㱠")
arel ("殖" "㱵")
areo ("𤳓")
arep ("𣩠")
arer ("𣩽" "𣩷")
arew ("𣨠")
arex ("列支" "𣨲")
arfb ("𣨈")
arfd ("𣩘")
arfg ("一条龙")
arfj ("殐")
arfl ("㱫" "𣩼" "𣨁")
arfm ("残酷")
arfn ("无条件")
arfo ("一条街")
arfp ("死板" "㱤")
arfq ("死机")
arfw ("一条心")
arga ("死硬")
argd ("𣧂")
argf ("天然林")
argi ("残存")
argl ("𣧦")
argm ("天然气")
argo ("䪲")
argp ("𣨹")
argr ("天然色" "𣧗")
args ("殠")
argv ("列在")
argx ("残破")
argy ("𣧼")
arh ("残" "殘")
arha ("𣧵")
arhb ("殌" "𣨂")
arhe ("列车")
arhh ("殘")
arhi ("𣧒")
arhk ("㱪")
arhl ("𥂫")
arhm ("残" "𣧌")
arhs ("𣧆")
arhx ("𣨇")
arhz ("𣧡")
aria ("正处于")
aric ("副外长")
arii ("㱜" "𧒈" "𣧐")
arij ("𣩚")
arim ("𣧨")
arix ("𣧏")
arj ("殒" "殞")
arja ("裂口" "𣨤")
arjc ("殉国" "殣")
arjd ("无名指")
arjj ("残品" "𣩛")
arjk ("𣨣")
arjl ("殒" "殞" "残喘" "𣩅")
arjm ("𩎳")
arjn ("形象化" "𣨕")
arjo ("𣧝")
arjr ("死路" "殑")
arjs ("一句话" "㱸")
arju ("殪" "㱯" "𣩟")
arjx ("𣨨")
arjy ("𣨉")
arjz ("两条路线")
ark ("列")
arka ("烈日" "殲" "殱" "𩐁" "𣩶")
arkc ("𩢾")
arkd ("列")
arke ("残暴" "殚" "殫")
arkf ("𣩓" "𣨪")
arkg ("殧" "𣩎")
arkh ("㱬")
arki ("䶛" "𧊿")
arkk ("殭" "㽝" "𣩢" "𣩒")
arkl ("殯" "殟" "㡂" "㱺" "𥅮" "𥁟")
arkm ("𥞥" "𣨾")
arkn ("𨾸")
arko ("殥" "𣧴")
arkp ("銐")
arkr ("鴷" "鮤" "䴕" "𫛙" "𣩹" "𣩜" "𣨵" "")
arks ("𣨃" "𣧖")
arku ("烈" "烮" "𣩫")
arkw ("死党" "迾" "㤠")
arkx ("𩧮")
arky ("劽")
arkz ("姴" "殗")
arl ("殃")
arlc ("殂")
arld ("𣧺")
arle ("𣧱")
arlf ("正负极")
arlg ("殃" "𣨽")
arli ("𢁳")
arlj ("𣨱")
arlk ("死罪" "𣩮")
arll ("殰" "𣩬" "𣩥" "𣧈")
arlm ("残败" "𣧨")
arln ("𣩑")
arlo ("𪵨" "𣧰" "𣧍")
arlr ("𪵦")
arls ("残骸")
arlu ("裂解炉")
arlw ("𣨺" "𢤔")
arlx ("𠭿")
arm ("殊" "歼")
armb ("天然气井" "𣨮" "𣧘")
armc ("殅")
armd ("𣧙")
arme ("歼" "残缺" "𢍗")
armf ("𣩊")
armg ("殀" "𣨘")
armh ("𣧃")
armi ("㱹" "𣩋" "𣨐" "𣧫")
armj ("𣨓")
armk ("殊")
arml ("殈")
armm ("死敌")
armo ("𣧞")
armr ("死物" "㱡")
arms ("𣧉")
armu ("𣧯")
armz ("𦁘" "𣨙" "𣨒")
arne ("残值")
arnf ("可比价格" "㱷")
arni ("𣨫")
arnj ("㱱")
arnm ("死伤")
arnn ("𣨔")
arnp ("无条件反射")
arnr ("裂化" "𣨜" "𣨆")
arns ("哥儿们义气")
aro ("殲" "殓")
aroa ("死命")
arob ("歹徒" "𣨎")
arod ("列入" "𣦹")
aroe ("百儿八十" "𣨛")
arof ("残杀")
arog ("𣪀")
arok ("𣧠")
arol ("㱲")
arom ("残余")
aroo ("殮" "殎" "𣧻")
arop ("殄" "𣩍")
aror ("㱥")
aros ("𣧧")
arot ("𣨝")
arox ("飱")
aroy ("可疑分子" "𣨳")
aroz ("𪵤" "𣧑")
arpa ("死后")
arpd ("歽" "𣨅" "𣧭")
arpl ("𣨡")
arpo ("列兵" "殡" "餮")
arpx ("𣧶")
arpy ("殍")
arpz ("㱣")
arq ("殁" "㱚")
arqb ("两条腿走路")
arqd ("𣦽")
arqf ("𣧷")
arqq ("𣨥")
arqx ("殁")
arr ("死")
arrb ("㘸")
arrc ("𨱼")
arrd ("𣩗")
arre ("𢍈")
arrf ("𣑘")
arrj ("𣧳" "𣧬")
arrk ("殉" "殙" "𣩳" "𣨸" "𣧿" "𣍌")
arrl ("裂解" "𪵩" "𧵲" "𣪁" "𣨍")
arrn ("正比例")
arro ("殤" "歾" "𣨟" "𣧋")
arrr ("死" "㰷")
arrs ("残留" "𣧇" "𣧀")
arrt ("𣧩")
arru ("可比性")
arry ("㱧" "㱝" "𪵢")
arrz ("殦" "𣧔")
ars ("歹" "𣨌")
arsh ("死亡")
arsi ("𪚗")
arsj ("残部" "殕" "𠞺")
arsk ("歹意")
arso ("𣩆")
arsr ("裂")
arsu ("㱞")
arsx ("裂变" "㱢")
arte ("列席")
artg ("㱩")
artm ("残疾")
artr ("𣧸" "𣣌")
artv ("烈度")
artx ("裂痕" "𣩏")
artz ("残废")
aru ("烈")
arub ("𣩲" "𣩈")
aruc ("𦍙")
aruf ("𣧲")
aruj ("𣩧")
arum ("烈性")
aruo ("烈火" "𣧛")
arup ("一鳞半爪" "㱶")
aruq ("㱻")
aruu ("残羹" "𣨬")
aruv ("列为")
arva ("列举")
arvb ("万多元")
arvd ("更多的")
arvf ("残渣")
arvj ("百多吨")
arvm ("死活")
arvs ("殏")
arvu ("天然染料")
arw ("殡" "殯")
arwa ("列宁" "正多边形")
arwc ("残害")
arwd ("死守" "㱨")
arwf ("𣨿")
arwi ("𣨭")
arwj ("两条道路")
arwk ("死神" "无名之辈" "𣧢")
arwl ("殢" "𣩀" "𣨼" "𣨩")
arws ("残迹" "㱰")
arwy ("𣨭")
arwz ("死心")
arxa ("殛" "死屍")
arxb ("肂")
arxe ("𣧊")
arxf ("𣩝")
arxg ("𣧎")
arxi ("㱟")
arxk ("殔")
arxl ("𣩵" "𢄉")
arxm ("死尸" "𣩌" "𢱵")
arxn ("死难" "殉难")
arxo ("䬸" "𣧾")
arxq ("𣩞")
arxs ("殆尽")
arxu ("殩" "𥹏")
arxy ("残局" "𣩃")
arxz ("一触即发")
ary ("殛" "𨚌")
aryh ("殖民" "𣧟")
aryi ("𣧜")
aryj ("列强")
aryk ("裂隙")
arym ("殃及" "𣦺" "𠡀")
aryn ("𣩰")
aryo ("殇" "列队")
arys ("残忍" "残障")
aryw ("政务官" "㤪")
aryx ("歿")
aryy ("𣧓")
arz ("殆" "𩾏")
arzf ("殜" "𣩨" "𣩣" "𣨚")
arzg ("𣨶")
arzj ("殆")
arzl ("𣩱" "𣩔" "𣩄" "𣧽")
arzn ("𣩿")
arzq ("𣨧")
arzr ("𪵥")
arzs ("裂纹")
arzu ("𣩯" "𣩙")
arzw ("裂缝")
arzx ("𪵣")
arzy ("𣧥")
arzz ("列出" "𣨢" "𣧪" "𣦾")
as ("干部")
asae ("可亲可敬" "无亲无故")
asam ("开放政策" "干部政策")
asao ("一言一行")
asas ("无计可施")
asay ("一望无际")
asaz ("天衣无缝")
asba ("天诛地灭")
asbh ("天旋地转" "开放地区")
asbs ("开放城市" "与市场调节相结合")
ascb ("天主教")
ascn ("副主任")
asct ("副主席")
asdk ("正义事业")
asdn ("更新换代")
asdv ("开放搞活")
asdz ("严词拒绝")
asek ("一衣带水")
asew ("可读写")
asfl ("开诚相见")
asge ("开斋节")
asgg ("可望而不可及" "可望而不可即" "百读不厌")
asgo ("开诚布公")
asgs ("万变不离其宗")
asgt ("死记硬背")
asgu ("平方厘米")
asgx ("一方有难八方支援")
asgz ("一言不发")
ashs ("死亡率")
asib ("干部战士")
asic ("副站长")
asjc ("副部长")
asjd ("更高的")
asjk ("再就业")
asjn ("恶语中伤")
asjo ("一部分")
askj ("开放电路")
asks ("下意识" "无意识")
askt ("无意间")
askw ("可变电容器")
aslc ("副市长")
aslz ("夏商周断代工程")
asmb ("无产者")
asmh ("开放区")
asmj ("副产品")
asmp ("一诺千金")
asmt ("干部制度")
asmu ("开放性")
asnh ("副主任医师" "开夜车")
asnm ("夏熟作物")
asnq ("干部作风")
asnr ("天高任鸟飞")
asoe ("无效分蘖")
asoh ("正义感")
asok ("无论是" "平方公里")
asov ("天文学")
asox ("平方公尺")
asoy ("正离子")
asoz ("天文台")
asrd ("无记名投票")
asrw ("更衣室")
assb ("再立新功")
asss ("天方夜谭")
assw ("天文望远镜")
assy ("下议院")
astf ("可变资本")
asuw ("一言为定")
asvs ("死说活说")
aswg ("一语道破")
aswj ("无意之中")
aswt ("一夜之间")
asxm ("无言对答")
asxw ("副译审")
asxx ("一言难尽")
asya ("正方形")
asye ("妻离子散")
asyf ("平方根")
asyg ("一方面" "两方面")
asyn ("正方体")
asyo ("一意孤行")
asyu ("平方米")
asyz ("无产阶级")
asze ("一言以蔽之")
aszn ("无论如何")
aszx ("无言以对")
at ("政府")
atag ("平庸无奇")
atbf ("平装本")
atbn ("政府工作" "政府工作报告")
atbs ("武装部")
ates ("一席话")
atff ("政府机构")
atfk ("一头雾水")
atfu ("政府机关")
atgb ("一病不起")
atgu ("百问不烦")
atgz ("百闻不如一见")
atig ("一决雌雄")
atiy ("顶头上司")
atkj ("两头小中间大")
atlb ("开门见喜")
atlk ("开阔眼界")
atll ("开门见山")
atlz ("开门红")
atme ("干净利落")
atmo ("残疾人")
atnc ("政府代表团")
atno ("一应俱全")
atnp ("豆腐乳")
atnv ("豆腐渣" "百废俱兴")
atnx ("豆腐皮")
atoc ("残疾人联合会")
aton ("武装入侵")
atos ("列席会议")
atov ("百废待兴" "百废待举")
atra ("天底下")
atrp ("平底锅")
atru ("一次性")
atrv ("无底洞")
atrw ("融资额")
atsm ("一次方程")
atst ("政府部门")
atsy ("武装部队")
attr ("武装斗争")
attw ("武装冲突")
atuq ("政府首脑")
atuu ("平底烧瓶")
atvb ("开阔地")
atvs ("更应该")
atwb ("一席之地")
atwj ("政府官员" "天府之国")
atwk ("一门心思")
atwo ("残废军人")
atxa ("一次又一次")
atxw ("下决心")
atyk ("武装力量")
atyv ("开门办学")
au ("下半年")
